link_id,assumSpeedOncom,consVehInDynPot,costPerKm,desSpeedFact,direction,displayType,emergStopDist,emiCalcAct,gradient,hasOvtLn,isPedArea,level,linkBehavType,linkEvalAct,linkEvalSegLen,lnChgDist,lnChgDistIsPerLn,lnChgEvalAct,lookAheadDistOvt,mesoFollowUpGap,mesoSpeed,mesoSpeedModel,name,netPerfEvalAct,no,ovtOnlyPT,ovtSpeedFact,rvsPark,showClsfValues,showLinkBar,showVeh,surch1,surch2,thickness,vehDynPotG,vehRecAct,num_lanes,geom
1,60,false,0,1,ALL,63,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 1,true,1,false,1.3,false,true,true,true,0,0,0,3,true,2,"LINESTRING (-8.729163979635562 40.646177049249786, -8.729189289664426 40.64616669166443, -8.729212601360608 40.6461539160756, -8.72923351585452 40.64613894107587, -8.729251675293376 40.6461220228902, -8.729266768964141 40.64610345099209, -8.729278538609924 40.64608354315065, -8.729286782848819 40.646062639993524, -8.729291360619616 40.64604109917877, -8.729292193595388 40.64601928927524, -8.729289267523688 40.645997583456364, -8.729282632470412 40.64597635311496, -8.729272401963163 40.645955961508754, -8.729258751048755 40.64593675754467, -8.729241913298122 40.64591906980902, -8.729222176809841 40.64590320094518, -8.729199879280703 40.645889422475186, -8.72917540222761 40.645877970153855, -8.729149164459725 40.64586903993481, -8.729121614912538 40.64586278461761, -8.729093224966434 40.64585931123326, -8.729064480381263 40.64585867921274, -8.729035872984847 40.64586089937016, -8.72900789225767 40.64586593371778, -8.728981016957734 40.64587369611585, -8.728955706928868 40.64588405374667, -8.728932395232686 40.64589682938716, -8.728911480738773 40.64591180444124, -8.728893321299918 40.64592872268019, -8.728878227629155 40.645947294626886, -8.728866457983372 40.64596720250899, -8.728858213744475 40.645988105696, -8.728853635973678 40.64600964652785, -8.728852802997906 40.64603145643456, -8.728855729069608 40.64605316224242, -8.728862364122882 40.64607439255936, -8.72887259463013 40.64609478412939, -8.728886245544539 40.64611398804801, -8.728903083295172 40.64613167573201, -8.728922819783453 40.64614754454152, -8.728945117312591 40.646161322958235, -8.728969594365685 40.64617277523094, -8.728995832133569 40.646181705409326, -8.729023381680758 40.64618796069662, -8.72905177162686 40.64619143406388, -8.729080516212031 40.64619206608126, -8.729109123608447 40.646189845934835, -8.729137104335624 40.64618481161167)"
2,60,false,0,1,ALL,65,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 3,true,2,false,1.3,false,true,true,true,0,0,0,3,true,3,"LINESTRING (-8.729919592907006 40.64553869667774, -8.729267989381965 40.6458293687379)"
3,60,false,0,1,ALL,67,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 5,true,3,false,1.3,false,true,true,true,0,0,0,3,true,2,"LINESTRING (-8.728901362961 40.645803292141416, -8.726424196858693 40.642675294725244, -8.726367115500894 40.642606935486334, -8.726272622194294 40.642482137805914, -8.726158693371259 40.64235435081181, -8.726046797156869 40.64223748502633, -8.725927680154687 40.64212486284158, -8.725787646565275 40.64200526206095, -8.725649559063442 40.641903125154535, -8.725513670983434 40.641809535500066, -8.72534758189619 40.641724095757255, -8.725205897197958 40.64165843628158, -8.725000792752148 40.64157502551941, -8.72487575497734 40.64153217325117, -8.724742885934527 40.64151528846695, -8.724562427696187 40.64151502479469, -8.724409670901668 40.64154478378828, -8.721987446161 40.64245619967597)"
4,60,false,0,1,ALL,64,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 2,true,4,false,1.3,false,true,true,true,0,0,0,3,true,3,"LINESTRING (-8.729130999108817 40.64626066819783, -8.73044743092047 40.647985288152235)"
5,60,false,0,1,ALL,66,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 4,true,5,false,1.3,false,true,true,true,0,0,0,3,true,2,"LINESTRING (-8.726495942391466 40.6431486846865, -8.725814034085738 40.64347236909025)"
6,60,false,0,1,ALL,64,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 2,true,6,false,1.3,false,true,true,true,0,0,0,3,true,1,"LINESTRING (-8.731082640399467 40.64822560126785, -8.73151345311165 40.64803776819348)"
7,60,false,0,1,ALL,63,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 1,true,7,false,1.3,false,true,true,true,0,0,0,3,true,1,"LINESTRING (-8.728771333150162 40.64633153896106, -8.728184763437573 40.64660046438992)"
8,60,false,0,1,ALL,87,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TGL 2,true,8,false,1.3,false,true,true,true,0,0,0,3,true,1,"LINESTRING (-8.705429388404227 40.65173005076884, -8.706357924644403 40.65135614484824)"
9,60,false,0,1,ALL,11,5,true,0,false,false,1,6,true,10,200,false,true,500,0,50,VEHICLEBASED,Rail,true,9,false,1.3,false,true,true,true,0,0,0,3,true,1,"LINESTRING (-8.721790949856382 40.64179487902538, -8.722130913117592 40.64170448298332, -8.722621003690648 40.64157963089368, -8.722967557716373 40.641516056509204, -8.723347022297915 40.641483627021046, -8.723749960306598 40.64148445766333, -8.724019359678412 40.641511656410245, -8.724267642435567 40.64154909910383, -8.724489258473305 40.641600489983105, -8.724843144480113 40.64171996551732, -8.7251661893204 40.64187586168615, -8.725489740032156 40.64206288126247, -8.725734776945579 40.642270163053944, -8.725947447231485 40.642507167257996, -8.730510900217356 40.648282049297066)"
10,60,false,0,1,ALL,66,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 4,true,10,false,1.3,false,true,true,true,0,0,0,3,true,2,"LINESTRING (-8.726892522494637 40.64306273019102, -8.727567393223653 40.64277683201479)"
11,60,false,0,1,ALL,64,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 2,true,11,false,1.3,false,true,true,true,0,0,0,3,true,1,"LINESTRING (-8.731063696272136 40.648308660544714, -8.731642234405674 40.648039250502876)"
12,60,false,0,1,ALL,64,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 2,true,12,false,1.3,false,true,true,true,0,0,0,3,true,1,"LINESTRING (-8.73149819875 40.64789032729439, -8.73096585978532 40.648100440268394)"
13,60,false,0,1,ALL,64,5,true,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,TNorte 2,true,13,false,1.3,false,true,true,true,0,0,0,3,true,3,"LINESTRING (-8.730599232244028 40.647954568420964, -8.729281953744735 40.646232033278224)"
