b'    Time,      Link,Lane,     VehNo,   VehType,      Line,DesSpeed,\r\n',datetime
12.9,334,1,1,107,0,125.0,\r\n',2026-04-06 15:45:47.900
12.1,988,1,2,100,0,100.5,\r\n',2026-04-06 15:45:47.100
14.9,334,2,3,101,0,108.0,\r\n',2026-04-06 15:45:49.900
15.5,334,1,4,101,0,103.0,\r\n',2026-04-06 15:45:50.500
21.2,334,2,5,100,0,97.5,\r\n',2026-04-06 15:45:56.200
45.4,334,1,6,101,0,114.2,\r\n',2026-04-06 15:46:20.400
51.8,988,1,7,101,0,118.2,\r\n',2026-04-06 15:46:26.800
58.0,988,1,8,100,0,117.5,\r\n',2026-04-06 15:46:33.000
59.8,334,1,9,100,0,102.1,\r\n',2026-04-06 15:46:34.800
66.3,55,1,10,105,0,97.8,\r\n',2026-04-06 15:46:41.300
70.3,988,1,11,101,0,100.7,\r\n',2026-04-06 15:46:45.300
71.2,988,1,12,101,0,96.7,\r\n',2026-04-06 15:46:46.200
76.9,334,1,13,100,0,101.4,\r\n',2026-04-06 15:46:51.900
76.9,334,2,14,100,0,111.3,\r\n',2026-04-06 15:46:51.900
113.7,334,1,15,100,0,102.8,\r\n',2026-04-06 15:47:28.700
116.8,988,1,16,100,0,109.5,\r\n',2026-04-06 15:47:31.800
134.6,988,1,17,100,0,97.7,\r\n',2026-04-06 15:47:49.600
136.0,988,1,18,101,0,100.0,\r\n',2026-04-06 15:47:51.000
139.3,162,1,19,1174,0,31.6,\r\n',2026-04-06 15:47:54.300
146.4,988,1,20,101,0,122.8,\r\n',2026-04-06 15:48:01.400
152.1,852,1,21,100,0,106.1,\r\n',2026-04-06 15:48:07.100
164.8,327,1,22,1177,0,6.7,\r\n',2026-04-06 15:48:19.800
173.1,988,1,23,105,0,105.7,\r\n',2026-04-06 15:48:28.100
183.3,55,1,24,101,0,107.3,\r\n',2026-04-06 15:48:38.300
200.2,988,1,25,105,0,128.4,\r\n',2026-04-06 15:48:55.200
209.2,852,1,26,101,0,100.6,\r\n',2026-04-06 15:49:04.200
212.9,334,1,27,105,0,104.8,\r\n',2026-04-06 15:49:07.900
215.8,55,1,28,100,0,108.1,\r\n',2026-04-06 15:49:10.800
237.2,55,1,29,100,0,95.1,\r\n',2026-04-06 15:49:32.200
245.0,907,1,30,101,0,125.7,\r\n',2026-04-06 15:49:40.000
246.5,334,1,31,101,0,103.9,\r\n',2026-04-06 15:49:41.500
247.0,334,2,32,101,0,110.8,\r\n',2026-04-06 15:49:42.000
256.9,988,1,33,101,0,124.9,\r\n',2026-04-06 15:49:51.900
259.5,907,1,34,105,0,100.0,\r\n',2026-04-06 15:49:54.500
273.5,988,1,35,101,0,104.4,\r\n',2026-04-06 15:50:08.500
281.8,334,1,36,100,0,96.4,\r\n',2026-04-06 15:50:16.800
281.9,988,1,37,100,0,108.9,\r\n',2026-04-06 15:50:16.900
291.2,334,2,38,100,0,106.5,\r\n',2026-04-06 15:50:26.200
302.7,988,1,39,105,0,105.2,\r\n',2026-04-06 15:50:37.700
306.7,988,1,40,100,0,94.9,\r\n',2026-04-06 15:50:41.700
314.0,334,1,41,107,0,103.0,\r\n',2026-04-06 15:50:49.000
324.1,55,1,42,100,0,101.8,\r\n',2026-04-06 15:50:59.100
340.3,334,1,43,101,0,103.7,\r\n',2026-04-06 15:51:15.300
367.6,334,1,44,101,0,108.6,\r\n',2026-04-06 15:51:42.600
372.9,334,2,45,100,0,102.2,\r\n',2026-04-06 15:51:47.900
372.4,55,1,46,100,0,104.0,\r\n',2026-04-06 15:51:47.400
378.4,55,2,47,101,0,105.4,\r\n',2026-04-06 15:51:53.400
397.1,334,1,48,101,0,112.9,\r\n',2026-04-06 15:52:12.100
418.2,55,1,49,109,0,107.9,\r\n',2026-04-06 15:52:33.200
453.4,852,1,50,101,0,100.4,\r\n',2026-04-06 15:53:08.400
460.1,334,1,51,108,0,104.7,\r\n',2026-04-06 15:53:15.100
483.7,55,1,52,101,0,108.1,\r\n',2026-04-06 15:53:38.700
489.1,988,1,53,101,0,104.1,\r\n',2026-04-06 15:53:44.100
492.7,988,1,54,105,0,107.7,\r\n',2026-04-06 15:53:47.700
496.4,334,1,55,101,0,109.2,\r\n',2026-04-06 15:53:51.400
503.7,334,2,56,100,0,101.6,\r\n',2026-04-06 15:53:58.700
510.4,988,1,57,101,0,106.1,\r\n',2026-04-06 15:54:05.400
511.1,334,1,58,102,0,104.2,\r\n',2026-04-06 15:54:06.100
535.5,334,1,59,100,0,104.5,\r\n',2026-04-06 15:54:30.500
542.8,988,1,60,100,0,109.0,\r\n',2026-04-06 15:54:37.800
559.6,988,1,61,101,0,103.0,\r\n',2026-04-06 15:54:54.600
572.4,988,1,62,100,0,108.7,\r\n',2026-04-06 15:55:07.400
584.4,334,1,63,100,0,102.8,\r\n',2026-04-06 15:55:19.400
596.2,55,1,64,100,0,113.0,\r\n',2026-04-06 15:55:31.200
606.3,907,1,65,100,0,113.7,\r\n',2026-04-06 15:55:41.300
607.2,55,2,66,101,0,101.7,\r\n',2026-04-06 15:55:42.200
620.1,334,1,67,101,0,109.5,\r\n',2026-04-06 15:55:55.100
621.7,988,1,68,101,0,100.6,\r\n',2026-04-06 15:55:56.700
626.1,334,2,69,101,0,115.9,\r\n',2026-04-06 15:56:01.100
627.4,55,2,70,100,0,100.5,\r\n',2026-04-06 15:56:02.400
645.3,334,1,71,101,0,111.3,\r\n',2026-04-06 15:56:20.300
664.6,327,1,72,1177,0,6.7,\r\n',2026-04-06 15:56:39.600
689.1,334,1,73,101,0,109.3,\r\n',2026-04-06 15:57:04.100
695.1,334,2,74,101,0,107.0,\r\n',2026-04-06 15:57:10.100
709.7,334,1,75,107,0,98.3,\r\n',2026-04-06 15:57:24.700
714.0,988,1,76,101,0,118.8,\r\n',2026-04-06 15:57:29.000
714.9,907,1,77,101,0,103.1,\r\n',2026-04-06 15:57:29.900
717.3,55,1,78,101,0,111.6,\r\n',2026-04-06 15:57:32.300
721.9,988,1,79,100,0,106.4,\r\n',2026-04-06 15:57:36.900
728.5,334,1,80,101,0,102.0,\r\n',2026-04-06 15:57:43.500
731.3,334,2,81,107,0,104.6,\r\n',2026-04-06 15:57:46.300
740.2,55,1,82,200,0,43.3,\r\n',2026-04-06 15:57:55.200
741.9,988,1,83,101,0,115.3,\r\n',2026-04-06 15:57:56.900
747.9,334,1,84,100,0,102.3,\r\n',2026-04-06 15:58:02.900
749.2,55,2,85,108,0,106.7,\r\n',2026-04-06 15:58:04.200
753.2,907,1,86,101,0,104.7,\r\n',2026-04-06 15:58:08.200
763.7,988,1,87,100,0,101.9,\r\n',2026-04-06 15:58:18.700
765.6,55,1,88,105,0,113.7,\r\n',2026-04-06 15:58:20.600
792.8,334,1,89,101,0,109.7,\r\n',2026-04-06 15:58:47.800
801.0,334,2,90,100,0,112.2,\r\n',2026-04-06 15:58:56.000
811.2,988,1,91,101,0,106.2,\r\n',2026-04-06 15:59:06.200
831.2,55,1,92,101,0,109.2,\r\n',2026-04-06 15:59:26.200
835.5,334,1,93,101,0,116.7,\r\n',2026-04-06 15:59:30.500
842.6,327,1,94,1177,0,5.4,\r\n',2026-04-06 15:59:37.600
844.2,55,2,95,101,0,105.7,\r\n',2026-04-06 15:59:39.200
847.1,988,1,96,105,0,100.8,\r\n',2026-04-06 15:59:42.100
849.1,55,1,97,108,0,108.7,\r\n',2026-04-06 15:59:44.100
863.4,334,1,98,100,0,101.2,\r\n',2026-04-06 15:59:58.400
880.1,334,1,99,100,0,105.4,\r\n',2026-04-06 16:00:15.100
888.0,334,2,100,100,0,103.0,\r\n',2026-04-06 16:00:23.000
896.5,988,1,101,105,0,103.1,\r\n',2026-04-06 16:00:31.500
899.5,334,1,102,101,0,108.0,\r\n',2026-04-06 16:00:34.500
902.9,334,2,103,100,0,99.0,\r\n',2026-04-06 16:00:37.900
902.9,55,1,104,100,0,118.3,\r\n',2026-04-06 16:00:37.900
902.2,988,1,105,105,0,113.6,\r\n',2026-04-06 16:00:37.200
919.2,55,1,106,108,0,124.1,\r\n',2026-04-06 16:00:54.200
925.6,334,1,107,101,0,116.4,\r\n',2026-04-06 16:01:00.600
935.1,988,1,108,100,0,108.1,\r\n',2026-04-06 16:01:10.100
952.1,334,1,109,101,0,102.8,\r\n',2026-04-06 16:01:27.100
968.3,988,1,110,101,0,98.0,\r\n',2026-04-06 16:01:43.300
979.5,55,1,111,101,0,107.2,\r\n',2026-04-06 16:01:54.500
986.1,334,1,112,101,0,96.6,\r\n',2026-04-06 16:02:01.100
986.2,988,1,113,101,0,106.5,\r\n',2026-04-06 16:02:01.200
990.9,988,1,114,100,0,97.0,\r\n',2026-04-06 16:02:05.900
1003.4,334,1,115,105,0,107.8,\r\n',2026-04-06 16:02:18.400
1003.9,988,1,116,100,0,101.1,\r\n',2026-04-06 16:02:18.900
1007.4,334,2,117,103,0,105.2,\r\n',2026-04-06 16:02:22.400
1010.2,334,1,118,101,0,107.5,\r\n',2026-04-06 16:02:25.200
1029.7,334,1,119,101,0,91.2,\r\n',2026-04-06 16:02:44.700
1038.1,334,2,120,101,0,101.7,\r\n',2026-04-06 16:02:53.100
1053.9,334,1,121,101,0,100.0,\r\n',2026-04-06 16:03:08.900
1062.6,988,1,122,101,0,100.5,\r\n',2026-04-06 16:03:17.600
1079.8,334,1,123,105,0,112.5,\r\n',2026-04-06 16:03:34.800
1085.2,334,2,124,100,0,104.4,\r\n',2026-04-06 16:03:40.200
1085.3,988,1,125,101,0,129.4,\r\n',2026-04-06 16:03:40.300
1099.0,988,1,126,105,0,104.6,\r\n',2026-04-06 16:03:54.000
1112.7,334,1,127,101,0,100.0,\r\n',2026-04-06 16:04:07.700
1113.2,852,1,128,103,0,107.4,\r\n',2026-04-06 16:04:08.200
1127.6,988,1,129,101,0,106.8,\r\n',2026-04-06 16:04:22.600
1142.7,334,1,130,108,0,106.3,\r\n',2026-04-06 16:04:37.700
1149.6,334,2,131,101,0,101.5,\r\n',2026-04-06 16:04:44.600
1156.8,55,1,132,101,0,120.3,\r\n',2026-04-06 16:04:51.800
1175.3,327,1,133,1177,0,5.3,\r\n',2026-04-06 16:05:10.300
1176.4,334,1,134,101,0,103.0,\r\n',2026-04-06 16:05:11.400
1179.9,988,1,135,101,0,122.7,\r\n',2026-04-06 16:05:14.900
1196.9,334,1,136,100,0,100.6,\r\n',2026-04-06 16:05:31.900
1213.6,55,1,137,100,0,129.7,\r\n',2026-04-06 16:05:48.600
1214.7,334,1,138,100,0,102.7,\r\n',2026-04-06 16:05:49.700
1219.1,55,2,139,107,0,114.2,\r\n',2026-04-06 16:05:54.100
1225.0,988,1,140,101,0,118.8,\r\n',2026-04-06 16:06:00.000
1227.4,334,1,141,108,0,111.1,\r\n',2026-04-06 16:06:02.400
1228.1,55,2,142,200,0,37.9,\r\n',2026-04-06 16:06:03.100
1230.0,334,2,143,101,0,102.1,\r\n',2026-04-06 16:06:05.000
1258.2,55,1,144,102,0,103.9,\r\n',2026-04-06 16:06:33.200
1265.7,334,1,145,100,0,101.8,\r\n',2026-04-06 16:06:40.700
1270.3,334,2,146,101,0,118.4,\r\n',2026-04-06 16:06:45.300
1270.1,55,2,147,101,0,128.9,\r\n',2026-04-06 16:06:45.100
1280.4,55,2,148,101,0,108.0,\r\n',2026-04-06 16:06:55.400
1281.5,334,1,149,101,0,108.4,\r\n',2026-04-06 16:06:56.500
1293.3,334,1,150,105,0,109.7,\r\n',2026-04-06 16:07:08.300
1301.6,55,1,151,100,0,105.4,\r\n',2026-04-06 16:07:16.600
1326.1,55,1,152,100,0,106.6,\r\n',2026-04-06 16:07:41.100
1337.5,334,1,153,100,0,109.4,\r\n',2026-04-06 16:07:52.500
1362.8,55,1,154,107,0,115.9,\r\n',2026-04-06 16:08:17.800
1374.4,988,1,155,101,0,110.9,\r\n',2026-04-06 16:08:29.400
1379.9,204,1,156,1173,0,33.0,\r\n',2026-04-06 16:08:34.900
1381.1,334,1,157,100,0,102.5,\r\n',2026-04-06 16:08:36.100
1390.3,334,2,158,100,0,108.0,\r\n',2026-04-06 16:08:45.300
1426.0,55,1,159,107,0,109.1,\r\n',2026-04-06 16:09:21.000
1449.2,55,1,160,200,0,42.3,\r\n',2026-04-06 16:09:44.200
1452.7,334,1,161,101,0,109.3,\r\n',2026-04-06 16:09:47.700
1467.0,334,1,162,105,0,119.7,\r\n',2026-04-06 16:10:02.000
1491.0,334,1,163,101,0,109.7,\r\n',2026-04-06 16:10:26.000
1503.6,852,1,164,100,0,109.8,\r\n',2026-04-06 16:10:38.600
1509.8,55,1,165,101,0,103.2,\r\n',2026-04-06 16:10:44.800
1510.6,852,1,166,100,0,127.5,\r\n',2026-04-06 16:10:45.600
1517.6,334,1,167,101,0,101.4,\r\n',2026-04-06 16:10:52.600
1517.9,334,2,168,101,0,117.4,\r\n',2026-04-06 16:10:52.900
1523.0,988,1,169,101,0,103.2,\r\n',2026-04-06 16:10:58.000
1525.2,55,2,170,105,0,102.4,\r\n',2026-04-06 16:11:00.200
1527.9,988,1,171,105,0,107.8,\r\n',2026-04-06 16:11:02.900
1536.8,852,1,172,101,0,102.2,\r\n',2026-04-06 16:11:11.800
1543.0,334,1,173,100,0,105.7,\r\n',2026-04-06 16:11:18.000
1554.6,334,1,174,100,0,95.9,\r\n',2026-04-06 16:11:29.600
1555.7,334,2,175,101,0,102.6,\r\n',2026-04-06 16:11:30.700
1562.3,334,1,176,101,0,102.9,\r\n',2026-04-06 16:11:37.300
1574.5,334,1,177,109,0,109.9,\r\n',2026-04-06 16:11:49.500
1582.9,988,1,178,102,0,112.9,\r\n',2026-04-06 16:11:57.900
1584.1,334,1,179,100,0,100.2,\r\n',2026-04-06 16:11:59.100
1585.4,988,1,180,100,0,106.7,\r\n',2026-04-06 16:12:00.400
1595.6,907,1,181,101,0,94.6,\r\n',2026-04-06 16:12:10.600
1605.1,334,1,182,101,0,104.5,\r\n',2026-04-06 16:12:20.100
1605.7,55,1,183,100,0,105.7,\r\n',2026-04-06 16:12:20.700
1608.5,988,1,184,105,0,102.5,\r\n',2026-04-06 16:12:23.500
1613.1,334,2,185,101,0,106.2,\r\n',2026-04-06 16:12:28.100
1614.1,334,1,186,100,0,107.0,\r\n',2026-04-06 16:12:29.100
1620.3,334,2,187,101,0,118.1,\r\n',2026-04-06 16:12:35.300
1621.0,988,1,188,101,0,112.1,\r\n',2026-04-06 16:12:36.000
1624.7,988,1,189,101,0,97.6,\r\n',2026-04-06 16:12:39.700
1633.8,334,1,190,105,0,112.8,\r\n',2026-04-06 16:12:48.800
1635.7,988,1,191,101,0,105.6,\r\n',2026-04-06 16:12:50.700
1636.1,988,1,192,101,0,95.6,\r\n',2026-04-06 16:12:51.100
1639.0,988,1,193,100,0,104.5,\r\n',2026-04-06 16:12:54.000
1652.0,334,1,194,105,0,109.4,\r\n',2026-04-06 16:13:07.000
