@markingType,@width,link_id,lane_index,lane_id,geom,@displayType,@linkBehavType,noLnChL,noLnChR
1,4,1,1,1_1,"LINESTRING (-8.729152787890003 40.646161184155744, -8.729176734996607 40.64615138431791, -8.729197533725149 40.64613998592066, -8.729216190329051 40.6461266275964, -8.729232386359334 40.64611153861812, -8.72924584576761 40.64609497759255, -8.72925633946706 40.64607722796822, -8.72926368906745 40.64605859317094, -8.729267769749098 40.64603939145313, -8.729268512253995 40.6460199505388, -8.729265903983512 40.64600060214274, -8.729259989197441 40.64598167643711, -8.729250868313859 40.64596349653812, -8.729238696312594 40.64594637308618, -8.72922368025008 40.645930598994426, -8.72920607590227 40.64591644444718, -8.729186183563597 40.6459041522319, -8.729164343047758 40.645893933492545, -8.729140927955108 40.645885963991596, -8.729116339292856 40.6458803809639, -8.729090998556572 40.64587728063687, -8.72906534040029 40.6458767164791, -8.729039805038699 40.6458786982226, -8.729014830534817 40.64588319168465, -8.728990845132163 40.64589011939334, -8.728968259787829 40.64589936200131, -8.72894746105497 40.645910760449574, -8.728928804450298 40.6459241188274, -8.728912608422824 40.64593920785819, -8.728899149020739 40.64595576893163, -8.72888865533046 40.64597351859599, -8.728881305741547 40.645992153422675, -8.728877225072953 40.64601135515735, -8.72887648258176 40.646030796074776, -8.72887909086569 40.64605014445999, -8.728885005664036 40.64606907014163, -8.728894126557888 40.646087250004925, -8.728906298566729 40.6461043734121, -8.728921314633583 40.64612014745294, -8.72893891898224 40.64613430194662, -8.728958811318185 40.64614659410936, -8.728980651827824 40.646156812800754, -8.729004066911317 40.646164782261536, -8.729028655562075 40.64617036525972, -8.729053996285291 40.64617346556988, -8.729079654427775 40.646174029724556, -8.729105189775845 40.6461720479919, -8.729131667721692 40.646167284050655)",,,,
1,4,1,2,1_2,"LINESTRING (-8.729175169625037 40.64619291525094, -8.729201842576611 40.64618199991782, -8.729227667240963 40.64616784713688, -8.72925083962501 40.646151255460985, -8.729270962472073 40.6461325080673, -8.729287690404558 40.6461119252961, -8.72930073599559 40.646089859237065, -8.729309874871575 40.646066687719724, -8.729314949729966 40.64604280780785, -8.729315873174942 40.64601862891505, -8.729312629300386 40.64599456567346, -8.729305273978417 40.64597103069668, -8.729293933846243 40.64594842738364, -8.729278804017794 40.64592714290795, -8.729260144578502 40.64590754152897, -8.729238275949667 40.64588995834913, -8.729213573230416 40.64587469362506, -8.72918645964081 40.64586200772236, -8.729157399198806 40.645852116785676, -8.729126888768073 40.64584518917931, -8.729095449613727 40.645841342737825, -8.729063618601325 40.64584064285463, -8.729031939171708 40.64584310142578, -8.729000952222725 40.64584867665871, -8.728971187026747 40.64585727374569, -8.728943152314278 40.64586874639888, -8.728917327655296 40.64588289923101, -8.72889415527224 40.6458994909607, -8.728874032421679 40.645918238407205, -8.728857304481497 40.64593882122661, -8.728844258879091 40.645960887325955, -8.728835119988815 40.645984058872955, -8.728830045114234 40.646007938801844, -8.728829121652213 40.64603211769774, -8.72883236551004 40.6460561809284, -8.728839720816746 40.646079715880965, -8.728851060936153 40.64610231915809, -8.728866190755191 40.64612360358867, -8.728884850189107 40.64614320491643, -8.728906718816921 40.646160788042415, -8.728931421539587 40.64617605271371, -8.728958535136888 40.64618873856831, -8.728987595590285 40.64619862946473, -8.729018106035285 40.64620555704149, -8.72904954520586 40.64620940346606, -8.729081376235383 40.646210103346185, -8.729113055681765 40.64620764478587, -8.729142539191027 40.64620234008064)",,,,
1,3.5,2,1,2_1,"LINESTRING (-8.729940503450097 40.645565894336585, -8.729288899751287 40.64585656651336)",,,,
1,3.5,2,2,2_2,"LINESTRING (-8.729919592026326 40.645538697131876, -8.729267988501284 40.645829369192036)",,,,
1,3.5,2,3,2_3,"LINESTRING (-8.729898680619531 40.64551149992325, -8.729247077268269 40.64580217186679)",,,,
1,3.5,3,1,3_1,"LINESTRING (-8.728883646391166 40.64581143275027, -8.726406607663069 40.64268359514272, -8.72634941738738 40.64261510544458, -8.726255079627546 40.642490513153255, -8.726141772832861 40.64236342381352, -8.726030374158553 40.64224707763514, -8.725911894335736 40.642135057862475, -8.725772700505825 40.642016174286105, -8.725635410221482 40.64191462702802, -8.725500879927967 40.64182197250462, -8.725336409294385 40.6417373653202, -8.725195640297072 40.64167213019376, -8.724991665662184 40.641589178892396, -8.724869708183316 40.64154738228611, -8.724741151536183 40.641531045513574, -8.724565010845849 40.641530788150504, -8.724416892468586 40.64155964352062, -8.721996607529514 40.642470329529154)",,,,
1,3.5,3,2,3_2,"LINESTRING (-8.728919077765172 40.64579515243807, -8.726441784288564 40.642666995213375, -8.726384811848686 40.642598766433636, -8.726290162995248 40.642473763364116, -8.726175612143658 40.64234527871587, -8.726063218389065 40.64222789332348, -8.725943464207417 40.64211466872676, -8.725802590858436 40.64199435074204, -8.725663706139123 40.64189162418756, -8.72552646027273 40.64179709940228, -8.725358752732141 40.64171082710139, -8.725216152333225 40.64164474327673, -8.72500991807682 40.64156087305392, -8.724881800007184 40.641516965124126, -8.72474461857062 40.641499532328524, -8.7245598427863 40.64149926234704, -8.724402447576509 40.64152992496371, -8.72197828303487 40.6424420707303)",,,,
1,3.5,4,1,4_1,"LINESTRING (-8.72916677094379 40.64624482702055, -8.730483203365049 40.647969446571885)",,,,
1,3.5,4,2,4_2,"LINESTRING (-8.729130998228129 40.64626066865197, -8.730447430039794 40.64798528860637)",,,,
1,3.5,4,3,4_3,"LINESTRING (-8.729095225495547 40.64627651027227, -8.730411656697623 40.64800113062973)",,,,
1,3.5,5,1,5_1,"LINESTRING (-8.726506883298136 40.643162059847924, -8.725824974909168 40.643485744315534)",,,,
1,3.5,5,2,5_2,"LINESTRING (-8.726484999727731 40.64313531043229, -8.725803091505272 40.643458994772175)",,,,
