link_id,assumSpeedOncom,consVehInDynPot,costPerKm,desSpeedFact,direction,displayType,emergStopDist,gradient,hasOvtLn,isPedArea,level,linkBehavType,linkEvalAct,linkEvalSegLen,lnChgDist,lnChgDistIsPerLn,lnChgEvalAct,lookAheadDistOvt,mesoFollowUpGap,mesoSpeed,mesoSpeedModel,name,netPerfEvalAct,no,ovtOnlyPT,ovtSpeedFact,showClsfValues,showLinkBar,showVeh,surch1,surch2,thickness,vehDynPotG,vehRecAct,num_lanes,geom
1,60,false,0,1,ALL,1,5,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,1,false,1.3,true,true,true,0,0,0,3,true,1,"LINESTRING (-87.8888210995919 43.07762083297916, -87.88880397732801 43.078248938994996, -87.88879169918549 43.0786993413116)"
2,60,false,0,1,ALL,1,5,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,2,false,1.3,true,true,true,0,0,0,3,true,1,"LINESTRING (-87.88882862857594 43.07869987840105, -87.88884090671847 43.07824947608842, -87.88885802898236 43.07762137007808)"
3,60,false,0,1,ALL,1,5,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,3,false,1.3,true,true,true,0,0,0,3,true,1,"LINESTRING (-87.88765404719253 43.07805844240971, -87.88945037282396 43.07805477738404)"
4,60,false,0,1,ALL,1,5,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,4,false,1.3,true,true,true,0,0,0,3,true,1,"LINESTRING (-87.88945026964919 43.07802779802626, -87.88765394401776 43.07803146305352)"
10000,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10000,false,1.3,true,true,true,0,0,0,3,true,1,LINESTRING EMPTY
10001,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10001,false,1.3,true,true,true,0,0,0,3,true,1,LINESTRING EMPTY
10002,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10002,false,1.3,true,true,true,0,0,0,3,true,1,LINESTRING EMPTY
10003,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10003,false,1.3,true,true,true,0,0,0,3,true,1,LINESTRING EMPTY
10004,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10004,false,1.3,true,true,true,0,0,0,3,true,1,LINESTRING EMPTY
10005,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10005,false,1.3,true,true,true,0,0,0,3,true,1,LINESTRING EMPTY
10006,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10006,false,1.3,true,true,true,0,0,0,3,true,1,LINESTRING EMPTY
10007,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10007,false,1.3,true,true,true,0,0,0,3,true,1,LINESTRING EMPTY
