link_id,@assumSpeedOncom,@consVehInDynPot,@costPerKm,@desSpeedFact,@direction,@displayType,@emergStopDist,@gradient,@hasOvtLn,@isPedArea,@level,@linkBehavType,@linkEvalAct,@linkEvalSegLen,@lnChgDist,@lnChgDistIsPerLn,@lnChgEvalAct,@lookAheadDistOvt,@mesoFollowUpGap,@mesoSpeed,@mesoSpeedModel,@name,@netPerfEvalAct,@no,@ovtOnlyPT,@ovtSpeedFact,@showClsfValues,@showLinkBar,@showVeh,@surch1,@surch2,@thickness,@vehDynPotG,@vehRecAct,geom,geom_points,num_lanes,fromLinkEndPt,toLinkEndPt
1,60,false,0,1,ALL,1,5,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,1,false,1.3,true,true,true,0,0,0,3,true,"LINESTRING (-87.88776887235022 43.077217620032044, -87.88775175019902 43.07784572604794, -87.8877394721373 43.07829612836459)","[(-87.88776887235022, 43.077217620032044), (-87.88775175019902, 43.07784572604794), (-87.8877394721373, 43.07829612836459)]",1.0,,
2,60,false,0,1,ALL,1,5,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,2,false,1.3,true,true,true,0,0,0,3,true,"LINESTRING (-87.88777640128475 43.078296665454076, -87.88778867934647 43.07784626314134, -87.88780580149769 43.077218157130964)","[(-87.88777640128475, 43.078296665454076), (-87.88778867934647, 43.07784626314134), (-87.88780580149769, 43.077218157130964)]",1.0,,
3,60,false,0,1,ALL,1,5,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,3,false,1.3,true,true,true,0,0,0,3,true,"LINESTRING (-87.88660182763039 43.07765522946261, -87.88839814144153 43.077651564436955)","[(-87.88660182763039, 43.07765522946261), (-87.88839814144153, 43.077651564436955)]",1.0,,
4,60,false,0,1,ALL,1,5,0,false,false,1,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,4,false,1.3,true,true,true,0,0,0,3,true,"LINESTRING (-87.88839803826744 43.07762458507916, -87.88660172445628 43.077628250106436)","[(-87.88839803826744, 43.07762458507916), (-87.88660172445628, 43.077628250106436)]",1.0,,
10000,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10000,false,1.3,true,true,true,0,0,0,3,true,"LINESTRING (-87.88775828282384 43.077606085134846, -87.8877587024839 43.0776107481082, -87.88776015862338 43.07761530162966, -87.88776256189092 43.07761971917443, -87.88776582293511 43.07762397421757, -87.88776985240456 43.07762804023428, -87.8877745609479 43.07763189069965, -87.8877798592137 43.077635499088885, -87.88778565785057 43.07763883887709, -87.88779186750716 43.07764188353947, -87.88779839883205 43.07764460655116, -87.88780516247382 43.077646981387325, -87.88781206908112 43.077648981523105, -87.88781902930255 43.07765058043364, -87.88782595378672 43.077651751594125, -87.88783275318222 43.07765246847965, -87.88783933813762 43.0776527045654)","[(-87.88775828282384, 43.077606085134846), (-87.8877587024839, 43.0776107481082), (-87.88776015862338, 43.07761530162966), (-87.88776256189092, 43.07761971917443), (-87.88776582293511, 43.07762397421757), (-87.88776985240456, 43.07762804023428), (-87.8877745609479, 43.07763189069965), (-87.8877798592137, 43.077635499088885), (-87.88778565785057, 43.07763883887709), (-87.88779186750716, 43.07764188353947), (-87.88779839883205, 43.07764460655116), (-87.88780516247382, 43.077646981387325), (-87.88781206908112, 43.077648981523105), (-87.88781902930255, 43.07765058043364), (-87.88782595378672, 43.077651751594125), (-87.88783275318222, 43.07765246847965), (-87.88783933813762, 43.0776527045654)]",,"{'@lane': '1 1', '@pos': '43.204047510243164'}","{'@lane': '3 1', '@pos': '100.51166968079055'}"
10001,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10001,false,1.3,true,true,true,0,0,0,3,true,"LINESTRING (-87.88784328138834 43.077625716952184, -87.88783637836714 43.077625967893624, -87.88782923876683 43.07762667864345, -87.88782195548542 43.07762782742906, -87.88781462142097 43.07762939247791, -87.88780732947153 43.0776313520174, -87.88780017253508 43.077633684274964, -87.88779324350972 43.077636367478014, -87.88778663529345 43.07763937985395, -87.88778044078431 43.07764269963021, -87.88777475288035 43.07764630503412, -87.88776966447959 43.07765017429317, -87.88776526848005 43.077654285634736, -87.88776165777979 43.077658617286225, -87.88775892527686 43.077663147475086, -87.88775716386928 43.07766785442872, -87.88775644900169 43.07767335663016)","[(-87.88784328138834, 43.077625716952184), (-87.88783637836714, 43.077625967893624), (-87.88782923876683, 43.07762667864345), (-87.88782195548542, 43.07762782742906), (-87.88781462142097, 43.07762939247791), (-87.88780732947153, 43.0776313520174), (-87.88780017253508, 43.077633684274964), (-87.88779324350972, 43.077636367478014), (-87.88778663529345, 43.07763937985395), (-87.88778044078431, 43.07764269963021), (-87.88777475288035, 43.07764630503412), (-87.88776966447959, 43.07765017429317), (-87.88776526848005, 43.077654285634736), (-87.88776165777979, 43.077658617286225), (-87.88775892527686, 43.077663147475086), (-87.88775716386928, 43.07766785442872), (-87.88775644900169, 43.07767335663016)]",,"{'@lane': '4 1', '@pos': '45.057831717080141'}","{'@lane': '1 1', '@pos': '50.685830728456892'}"
10002,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10002,false,1.3,true,true,true,0,0,0,3,true,"LINESTRING (-87.88771306372034 43.077652962203565, -87.88771999107007 43.07765265122091, -87.88772704334623 43.077651770769634, -87.88773414285536 43.077650357733845, -87.88774121190403 43.07764844899774, -87.88774817279887 43.07764608144546, -87.8877549478464 43.07764329196112, -87.88776145935326 43.07764011742886, -87.88776762962598 43.077636594732795, -87.88777338097118 43.077632760757076, -87.8877786356954 43.07762865238581, -87.88778331610524 43.0776243065032, -87.8877873445073 43.07761975999336, -87.88779064320812 43.07761504974042, -87.88779313451431 43.07761021262861, -87.88779474073243 43.07760528554208, -87.8877953667157 43.0776009456214)","[(-87.88771306372034, 43.077652962203565), (-87.88771999107007, 43.07765265122091), (-87.88772704334623, 43.077651770769634), (-87.88773414285536, 43.077650357733845), (-87.88774121190403, 43.07764844899774), (-87.88774817279887, 43.07764608144546), (-87.8877549478464, 43.07764329196112), (-87.88776145935326, 43.07764011742886), (-87.88776762962598, 43.077636594732795), (-87.88777338097118, 43.077632760757076), (-87.8877786356954, 43.07762865238581), (-87.88778331610524, 43.0776243065032), (-87.8877873445073, 43.07761975999336), (-87.88779064320812, 43.07761504974042), (-87.88779313451431, 43.07761021262861), (-87.88779474073243, 43.07760528554208), (-87.8877953667157, 43.0776009456214)]",,"{'@lane': '3 1', '@pos': '90.255552705289475'}","{'@lane': '2 1', '@pos': '77.376773060995561'}"
10003,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10003,false,1.3,true,true,true,0,0,0,3,true,"LINESTRING (-87.88779335888091 43.07767460055593, -87.88779286776852 43.07766950896324, -87.88779118317365 43.07766459093497, -87.8877884111113 43.077659867976735, -87.88778465759657 43.07765536159402, -87.88778002864453 43.07765109329243, -87.8877746302703 43.07764708457749, -87.88776856848888 43.07764335695484, -87.88776194931539 43.07763993192997, -87.8877548787649 43.07763683100847, -87.88774746285247 43.07763407569593, -87.8877398075932 43.07763168749793, -87.88773201900216 43.077629687919995, -87.88772420309442 43.07762809846766, -87.88771646588506 43.07762694064655, -87.88770891338913 43.07762623596217, -87.88770252851042 43.07762600413093)","[(-87.88779335888091, 43.07767460055593), (-87.88779286776852, 43.07766950896324), (-87.88779118317365, 43.07766459093497), (-87.8877884111113, 43.077659867976735), (-87.88778465759657, 43.07765536159402), (-87.88778002864453, 43.07765109329243), (-87.8877746302703, 43.07764708457749), (-87.88776856848888, 43.07764335695484), (-87.88776194931539, 43.07763993192997), (-87.8877548787649, 43.07763683100847), (-87.88774746285247, 43.07763407569593), (-87.8877398075932, 43.07763168749793), (-87.88773201900216, 43.077629687919995), (-87.88772420309442, 43.07762809846766), (-87.88771646588506, 43.07762694064655), (-87.88770891338913, 43.07762623596217), (-87.88770252851042, 43.07762600413093)]",,"{'@lane': '2 1', '@pos': '69.185038460473848'}","{'@lane': '4 1', '@pos': '56.489901739778979'}"
10004,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10004,false,1.3,true,true,true,0,0,0,3,true,"LINESTRING (-87.8878431612203 43.077625717197364, -87.88783931436743 43.077625584214, -87.88783533316479 43.0776251794032, -87.88783127106191 43.07762451700002, -87.88782718150836 43.077623611239495, -87.88782311795362 43.077622476356616, -87.88781913384724 43.077621126586486, -87.88781528263878 43.07761957616407, -87.88781161777773 43.077617839324375, -87.88780819271362 43.07761593030246, -87.88780506089599 43.07761386333335, -87.88780227577439 43.07761165265205, -87.88779989079835 43.07760931249363, -87.88779795941736 43.07760685709307, -87.88779653508097 43.0776043006854, -87.88779567123873 43.07760165750569, -87.88779545507309 43.077597704337634)","[(-87.8878431612203, 43.077625717197364), (-87.88783931436743, 43.077625584214), (-87.88783533316479, 43.0776251794032), (-87.88783127106191, 43.07762451700002), (-87.88782718150836, 43.077623611239495), (-87.88782311795362, 43.077622476356616), (-87.88781913384724, 43.077621126586486), (-87.88781528263878, 43.07761957616407), (-87.88781161777773, 43.077617839324375), (-87.88780819271362, 43.07761593030246), (-87.88780506089599, 43.07761386333335), (-87.88780227577439, 43.07761165265205), (-87.88779989079835, 43.07760931249363), (-87.88779795941736, 43.07760685709307), (-87.88779653508097, 43.0776043006854), (-87.88779567123873, 43.07760165750569), (-87.88779545507309, 43.077597704337634)]",,"{'@lane': '4 1', '@pos': '45.067591868745765'}","{'@lane': '2 1', '@pos': '77.737261056347251'}"
10005,60,false,0,1,ALL,1,5,0,false,false,,1,true,10,200,false,true,500,0,50,VEHICLEBASED,,true,10005,false,1.3,true,true,true,0,0,0,3,true,"LINESTRING (-87.88775826452638 43.07760675635577, -87.88775777759817 43.07760952449045, -87.88775652487674 43.077612028670075, -87.88775458096258 43.077614280745856, -87.88775202045615 43.07761629256903, -87.8877489179579 43.07761807599069, -87.88774534806839 43.07761964286208, -87.88774138538803 43.07762100503434, -87.88773710451733 43.07762217435865, -87.88773258005679 43.077623162686145, -87.88772788660685 43.07762398186803, -87.88772309876802 43.077624643755456, -87.88771829114079 43.077625160199545, -87.88771353832561 43.07762554305151, -87.887708914923 43.07762580416248, -87.88770449553337 43.07762595538361, -87.88769979276476 43.077626009712674)","[(-87.88775826452638, 43.07760675635577), (-87.88775777759817, 43.07760952449045), (-87.88775652487674, 43.077612028670075), (-87.88775458096258, 43.077614280745856), (-87.88775202045615, 43.07761629256903), (-87.8877489179579, 43.07761807599069), (-87.88774534806839, 43.07761964286208), (-87.88774138538803, 43.07762100503434), (-87.88773710451733, 43.07762217435865), (-87.88773258005679, 43.077623162686145), (-87.88772788660685, 43.07762398186803), (-87.88772309876802, 43.077624643755456), (-87.88771829114079, 43.077625160199545), (-87.88771353832561, 43.07762554305151), (-87.887708914923, 43.07762580416248), (-87.88770449553337, 43.07762595538361), (-87.88769979276476, 43.077626009712674)]",,"{'@lane': '1 1', '@pos': '43.278699138340464'}","{'@lane': '4 1', '@pos': '56.712101360556375'}"
